Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2023-07-20 04:00:00,47.43643730376223,48.00181939707325,47.18618603939485,47.64034652709961,8133600,0.0,0.0,DVN,Energy,0.015409078687219191,0.015291564487069037,0.017120642840295842,0.28076549284901947,0.35365061621757654,0.56997433092814,0.0,0.06527217574260336,2,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-21 04:00:00,47.86278610650206,48.63207736477691,47.51985078609644,48.43743515014648,9921900,0.0,0.0,DVN,Energy,0.016731377522483992,0.01659294994774926,0.022962127850758154,0.277650607895665,0.3496817214584787,0.5217557168908182,0.0,0.059291576119623324,3,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-24 04:00:00,48.65988532196613,49.66089037428298,48.54866371693239,49.206729888916016,9024000,0.0,0.0,DVN,Energy,0.01588223522539689,0.015757432226958946,0.022603141071585873,0.2803692710721296,0.35054800753800053,0.6602001033292977,0.0,0.07676073150534912,6,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-25 04:00:00,49.12330951409759,49.86479272415735,48.99355039429599,49.49405288696289,5547000,0.0,0.0,DVN,Energy,0.0058390996251020955,0.005822118155150029,0.01760297003462515,0.2800000421235323,0.32008625283159553,0.7344393966971912,0.0,0.08630577957315588,7,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-26 04:00:00,48.94720594027952,49.5681969931516,48.86378886228633,49.26233673095703,5078800,0.0,0.0,DVN,Energy,-0.004681696941146951,-0.004692690409750294,0.014299121349284608,0.2785173848015185,0.3178539382594453,0.7742783026920783,-0.004681696941146947,0.09150684829616895,8,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-27 04:00:00,49.67942896714272,49.7257745479013,48.20572930507325,48.40037155151367,7478600,0.0,0.0,DVN,Energy,-0.017497448083937273,-0.01765233787205551,0.03140565235558644,0.2798906126872767,0.3194249923510682,0.4589602368721096,-0.022097227275911825,0.0513389921838987,9,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-10 04:00:00,335.9662673681707,337.99286585711786,330.96214606024404,333.3441467285156,151500,0.0,0.0,EG,Insurance,-0.012013112350798272,-0.012085852932457543,0.021091475179253204,0.24971985369065566,0.29032542247238646,-0.27074902040689697,-0.03124428507952331,-0.03521114817866977,-8,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-11 04:00:00,335.0153780792837,338.4346841853422,332.4605273342063,337.9160461425781,177500,0.0,0.0,EG,Insurance,0.013715253316824993,0.013622050463597305,0.017679411556014688,0.25315918900437256,0.2896452086133588,-0.12114455348957938,-0.004555309190341461,-0.017957555047267038,-7,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-12 04:00:00,339.5584556622683,340.7206281264709,334.95774876401686,338.7036437988281,239800,0.0,0.0,EG,Insurance,0.0023307495019566637,0.0023280375184881806,0.017014518349489284,0.23993415691321024,0.28804992612738217,0.12923183124857993,-0.002235176973011382,0.012140885376056287,-6,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-13 04:00:00,338.0696465048793,340.3459786444251,337.40691318431357,339.76007080078125,240100,0.0,0.0,EG,Insurance,0.0031190305191419743,0.0031141764341926018,0.008650414550433874,0.2388490467318461,0.28811466957438475,0.08310235682585199,0.0,0.006630060045587971,-5,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
